vente_id,date,prix,rue,arrondissement,surface,pieces,longitude,latitude,prix_m2,annee
2023-1341003,2023-01-09,455000.0,RUE LEON MAURICE NORDMANN,13,49.0,2,2.34397,48.83434,9285.71,2023
2023-1341012,2023-01-09,700000.0,RUE DE VALENCE,5,54.0,3,2.35021,48.83833,12962.96,2023
2023-1341031,2023-01-09,273465.0,RUE VALADON,7,18.0,1,2.30541,48.85684,15192.5,2023
2023-1341039,2023-01-09,920000.0,RUE CAUCHY,15,98.0,4,2.27868,48.84183,9387.76,2023
2023-1341065,2023-01-09,233000.0,RUE PERNETY,14,21.0,1,2.31882,48.83331,11095.24,2023
2023-1341093,2023-01-09,720800.0,RUE JEAN PIERRE TIMBAUD,11,57.0,2,2.36732,48.86474,12645.61,2023
2023-1341185,2023-01-09,680890.0,RUE DE PICPUS,12,69.0,3,2.40304,48.83578,9867.97,2023
2023-1341201,2023-01-09,750000.0,RUE DU FAUBOURG DU TEMPLE,11,59.0,3,2.3667,48.8681,12711.86,2023
2023-1341202,2023-01-09,158000.0,RUE DE LA HUCHETTE,5,17.0,1,2.34507,48.85297,9294.12,2023
2023-1341204,2023-01-09,270000.0,RUE GREUZE,16,25.0,1,2.28477,48.86391,10800.0,2023
2023-1341211,2023-01-09,660900.0,RUE DU CONGO,12,69.0,2,2.38655,48.84131,9578.26,2023
2023-1341223,2023-01-09,500000.0,AV DE LA REPUBLIQUE,11,39.0,3,2.36803,48.86675,12820.51,2023
2023-1341245,2023-01-09,673040.0,RUE OLIVIER DE SERRES,15,70.0,3,2.29584,48.83494,9614.86,2023
2023-1341336,2023-01-09,490010.0,RUE PASCAL,13,43.0,3,2.34744,48.83319,11395.58,2023
2023-1341355,2023-01-09,760000.0,RUE ANTOINE BOURDELLE,15,77.0,3,2.31916,48.84337,9870.13,2023
2023-1341364,2023-01-09,585000.0,RUE JEAN DE LA FONTAINE,16,58.0,3,2.26522,48.84873,10086.21,2023
2023-1341376,2023-01-09,230000.0,RUE BARRAULT,13,20.0,1,2.34638,48.82535,11500.0,2023
2023-1341378,2023-01-09,595880.0,RUE VARET,15,57.0,3,2.28119,48.84056,10454.04,2023
2023-1341404,2023-01-09,505300.0,RUE DE REUILLY,12,39.0,2,2.39554,48.84049,12956.41,2023
2023-1341413,2023-01-09,1295000.0,RUE ALFRED BRUNEAU,16,115.0,3,2.2774,48.85559,11260.87,2023
2023-1341440,2023-01-09,485000.0,RUE FABRE D EGLANTINE,12,44.0,2,2.39619,48.84651,11022.73,2023
2023-1341441,2023-01-09,626500.0,RUE DU GAL DE LARMINAT,15,59.0,3,2.29826,48.85015,10618.64,2023
2023-1341491,2023-01-09,504000.0,RUE LECOURBE,15,47.0,3,2.30861,48.84411,10723.4,2023
2023-1341495,2023-01-09,528000.0,RUE EUGENE GIBEZ,15,50.0,3,2.29522,48.83539,10560.0,2023
2023-1341568,2023-01-09,340000.0,RUE DE LA TOMBE ISSOIRE,14,45.0,2,2.33106,48.82542,7555.56,2023
2023-1341675,2023-01-09,777530.0,BD LEFEBVRE,15,88.0,4,2.2925,48.83147,8835.57,2023
2023-1341688,2023-01-09,844650.0,RUE CHALGRIN,16,80.0,2,2.28895,48.87436,10558.12,2023
2023-1341690,2023-01-09,800000.0,SQ MOZART,16,75.0,2,2.27064,48.85658,10666.67,2023
2023-1341724,2023-01-09,229251.0,RUE DU FBG ST ANTOINE,11,18.0,1,2.39148,48.84922,12736.17,2023
2023-1341837,2023-01-09,397250.0,RUE DE COULMIERS,14,38.0,2,2.32495,48.8244,10453.95,2023
2023-1341844,2023-01-09,1110822.0,RUE OBERKAMPF,11,90.0,4,2.3689,48.8635,12342.47,2023
2023-1341937,2023-01-09,1650000.0,RUE BENOUVILLE,16,140.0,5,2.27728,48.86944,11785.71,2023
